m,time,time_std,GFLOPS,GFLOPS_mean,GFLOPS_std,GFLOPS/core
1000,5.987125e-02,7.951087e-02,8.598455e+01,7.220763e+01,2.618588e+01,8.598455e+01
1500,1.170449e-01,1.026101e-03,9.288748e+01,9.230842e+01,7.951190e-01,9.288748e+01
2000,2.033826e-01,7.923530e-04,9.192526e+01,9.153524e+01,3.546991e-01,9.192526e+01
2500,3.133533e-01,1.408533e-03,9.133462e+01,9.104643e+01,4.054893e-01,9.133462e+01
3000,4.476448e-01,8.495281e-04,9.079521e+01,9.068373e+01,1.714200e-01,9.079521e+01
3500,6.044964e-01,2.316457e-03,9.060103e+01,9.037872e+01,3.435487e-01,9.060103e+01
4000,7.852943e-01,7.565050e-04,9.040178e+01,9.029297e+01,8.686583e-02,9.040178e+01
4500,9.859887e-01,1.227894e-03,9.058522e+01,9.047783e+01,1.124444e-01,9.058522e+01
5000,1.240350e+00,2.785648e-01,8.847503e+01,6.802080e+01,1.247936e+01,8.847503e+01
5500,1.648226e+00,1.335341e-01,8.024628e+01,7.188893e+01,5.181990e+00,8.024628e+01
6000,1.777806e+00,7.437054e-02,8.824808e+01,8.256617e+01,3.324132e+00,8.824808e+01
6500,2.018357e+00,1.358814e-02,9.097102e+01,9.047822e+01,6.032180e-01,9.097102e+01
7000,2.285597e+00,1.924053e-03,9.294552e+01,9.283386e+01,7.805685e-02,9.294552e+01
7500,2.666101e+00,5.642692e-01,9.127937e+01,7.558761e+01,1.312817e+01,9.127937e+01
8000,3.122389e+00,1.600403e-01,8.851682e+01,8.455145e+01,4.031214e+00,8.851682e+01
8500,3.352060e+00,1.072645e-03,9.293032e+01,9.288139e+01,2.971080e-02,9.293032e+01
9000,3.787665e+00,8.657975e-01,9.207044e+01,7.476965e+01,1.398070e+01,9.207044e+01
9500,4.758321e+00,2.560578e-01,8.155314e+01,7.830452e+01,3.911131e+00,8.155314e+01
10000,4.755106e+00,7.741271e-01,9.031975e+01,7.643845e+01,1.040216e+01,9.031975e+01
